id,outcome,importance,satisfaction
P01,Concept 1 - DATA DISCOVERY,7,9
P02,Concept 1 - DATA DISCOVERY,9,1
P03,Concept 1 - DATA DISCOVERY,8,5
P04,Concept 1 - DATA DISCOVERY,3,7
P05,Concept 1 - DATA DISCOVERY,9,4
P06,Concept 1 - DATA DISCOVERY,4,0
P07,Concept 1 - DATA DISCOVERY,7,2
P08,Concept 1 - DATA DISCOVERY,10,5
P09,Concept 1 - DATA DISCOVERY,8,3
P01,Concept 2 - SQL BUILDER / HELPER,7,7
P02,Concept 2 - SQL BUILDER / HELPER,10,1
P03,Concept 2 - SQL BUILDER / HELPER,2,8
P04,Concept 2 - SQL BUILDER / HELPER,3,6
P05,Concept 2 - SQL BUILDER / HELPER,4,8
P06,Concept 2 - SQL BUILDER / HELPER,3,8
P07,Concept 2 - SQL BUILDER / HELPER,1,6
P08,Concept 2 - SQL BUILDER / HELPER,8,5
P09,Concept 2 - SQL BUILDER / HELPER,4,6
P01,Concept 3 - DATA PREVIEW,3,8
P02,Concept 3 - DATA PREVIEW,8,3
P03,Concept 3 - DATA PREVIEW,0,0
P04,Concept 3 - DATA PREVIEW,9,5
P05,Concept 3 - DATA PREVIEW,7,8
P06,Concept 3 - DATA PREVIEW,9,8
P07,Concept 3 - DATA PREVIEW,9,2
P08,Concept 3 - DATA PREVIEW,10,7
P09,Concept 3 - DATA PREVIEW,6,5
P01,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,2,6
P02,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,9,0
P03,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,3,7
P04,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,2,9
P05,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,7,5
P06,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,8,6
P07,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,3,6
P08,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,10,0
P09,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,4,8
P01,Concept 5 - DATA VISUALIZER,8,4
P02,Concept 5 - DATA VISUALIZER,10,0
P03,Concept 5 - DATA VISUALIZER,8,5
P04,Concept 5 - DATA VISUALIZER,1,6
P05,Concept 5 - DATA VISUALIZER,7,5
P06,Concept 5 - DATA VISUALIZER,7,8
P07,Concept 5 - DATA VISUALIZER,6,2
P08,Concept 5 - DATA VISUALIZER,5,10
P09,Concept 5 - DATA VISUALIZER,5,7
P01,Concept 6 - DOCUMENTATION AND SHARING,6,5
P02,Concept 6 - DOCUMENTATION AND SHARING,6,2
P03,Concept 6 - DOCUMENTATION AND SHARING,2,8
P04,Concept 6 - DOCUMENTATION AND SHARING,6,1
P05,Concept 6 - DOCUMENTATION AND SHARING,8,2
P06,Concept 6 - DOCUMENTATION AND SHARING,6,7
P07,Concept 6 - DOCUMENTATION AND SHARING,10,3
P08,Concept 6 - DOCUMENTATION AND SHARING,10,0
P09,Concept 6 - DOCUMENTATION AND SHARING,8,5
