id,outcome,importance,satisfaction
P01,Concept 1 - DATA DISCOVERY,9,4
P02,Concept 1 - DATA DISCOVERY,9,7
P03,Concept 1 - DATA DISCOVERY,6,4
P04,Concept 1 - DATA DISCOVERY,9,2
P05,Concept 1 - DATA DISCOVERY,10,1
P06,Concept 1 - DATA DISCOVERY,8,4
P07,Concept 1 - DATA DISCOVERY,10,5
P08,Concept 1 - DATA DISCOVERY,9,2
P09,Concept 1 - DATA DISCOVERY,10,3
P10,Concept 1 - DATA DISCOVERY,9,5
P11,Concept 1 - DATA DISCOVERY,8,8
P01,Concept 2 - SQL BUILDER / HELPER,9,5
P02,Concept 2 - SQL BUILDER / HELPER,7,7
P03,Concept 2 - SQL BUILDER / HELPER,1,9
P04,Concept 2 - SQL BUILDER / HELPER,8,1
P05,Concept 2 - SQL BUILDER / HELPER,10,5
P06,Concept 2 - SQL BUILDER / HELPER,8,7
P07,Concept 2 - SQL BUILDER / HELPER,2,9
P08,Concept 2 - SQL BUILDER / HELPER,7,5
P09,Concept 2 - SQL BUILDER / HELPER,10,5
P10,Concept 2 - SQL BUILDER / HELPER,6,7
P11,Concept 2 - SQL BUILDER / HELPER,8,7
P01,Concept 3 - DATA PREVIEW,9,7
P02,Concept 3 - DATA PREVIEW,8,8
P03,Concept 3 - DATA PREVIEW,8,6
P04,Concept 3 - DATA PREVIEW,6,10
P05,Concept 3 - DATA PREVIEW,7,7
P06,Concept 3 - DATA PREVIEW,10,8
P07,Concept 3 - DATA PREVIEW,10,9
P08,Concept 3 - DATA PREVIEW,6,9
P09,Concept 3 - DATA PREVIEW,7,10
P10,Concept 3 - DATA PREVIEW,9,8
P11,Concept 3 - DATA PREVIEW,9,9
P01,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,9,7
P02,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,7,7
P03,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,3,5
P04,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,9,5
P05,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,10,6
P06,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,10,7
P07,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,7,3
P08,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,9,7
P09,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,10,7
P10,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,8,6
P11,Concept 4 - DATA CLEANING AND TRANSFORMATION HELPERS,9,9
P01,Concept 5 - DATA VISUALIZER,5,9
P02,Concept 5 - DATA VISUALIZER,9,7
P03,Concept 5 - DATA VISUALIZER,2,8
P04,Concept 5 - DATA VISUALIZER,9,5
P05,Concept 5 - DATA VISUALIZER,10,4
P06,Concept 5 - DATA VISUALIZER,10,6
P07,Concept 5 - DATA VISUALIZER,3,8
P08,Concept 5 - DATA VISUALIZER,7,9
P09,Concept 5 - DATA VISUALIZER,7,8
P10,Concept 5 - DATA VISUALIZER,3,8
P11,Concept 5 - DATA VISUALIZER,7,7
P01,Concept 6 - DOCUMENTATION AND SHARING,10,4
P02,Concept 6 - DOCUMENTATION AND SHARING,8,7
P03,Concept 6 - DOCUMENTATION AND SHARING,8,2
P04,Concept 6 - DOCUMENTATION AND SHARING,10,1
P05,Concept 6 - DOCUMENTATION AND SHARING,10,5
P06,Concept 6 - DOCUMENTATION AND SHARING,9,8
P07,Concept 6 - DOCUMENTATION AND SHARING,9,5
P08,Concept 6 - DOCUMENTATION AND SHARING,7,4
P09,Concept 6 - DOCUMENTATION AND SHARING,9,7
P10,Concept 6 - DOCUMENTATION AND SHARING,10,9
P11,Concept 6 - DOCUMENTATION AND SHARING,9,4
